sentence,sentiment,polarity,subjectivity,index
"Gentlemen, we salute you.","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,20
"In 2019, we also celebrate 50 years since brave young pilots flew a quarter of a million miles through space to plant the American flag on the face of the moon.","Sentiment(polarity=0.3, subjectivity=0.4666666666666666)",0.3,0.466666667,21
"Half a century later, we are joined by one of the Apollo 11 astronauts who planted that flag: Buzz Aldrin.","Sentiment(polarity=-0.08333333333333333, subjectivity=0.08333333333333333)",-0.083333333,0.083333333,22
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,23
"Thank you, Buzz.","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,24
"This year, American astronauts will go back to space on American rockets.","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,25
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,26
"In the 20th century, America saved freedom, transformed science, redefined the middle class, and, when you get down to it, there's nothing anywhere in the world that can compete with America.","Sentiment(polarity=-0.051851851851851864, subjectivity=0.09629629629629631)",-0.051851852,0.096296296,27
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,28
"Now we must step boldly and bravely into the next chapter of this great American adventure, and we must create a new standard of living for the 21st century.","Sentiment(polarity=0.2587121212121212, subjectivity=0.35890151515151514)",0.258712121,0.358901515,29
An amazing quality of life for all of our citizens is within reach.,"Sentiment(polarity=0.6000000000000001, subjectivity=0.9)",0.6,0.9,30
"We can make our communities safer, our families stronger, our culture richer, our faith deeper, and our middle class bigger and more prosperous than ever before.","Sentiment(polarity=0.16666666666666666, subjectivity=0.3333333333333333)",0.166666667,0.333333333,31
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,32
"But we must reject the politics of revenge, resistance, and retribution, and embrace the boundless potential of cooperation, compromise, and the common good.","Sentiment(polarity=0.04999999999999999, subjectivity=0.7000000000000001)",0.05,0.7,33
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,34
"Together, we can break decades of political stalemate.","Sentiment(polarity=0.0, subjectivity=0.1)",0,0.1,35
"We can bridge old divisions, heal old wounds, build new coalitions, forge new solutions, and unlock the extraordinary promise of America's future.","Sentiment(polarity=0.13434343434343435, subjectivity=0.4056818181818182)",0.134343434,0.405681818,36
The decision is ours to make.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,37
"We must choose between greatness or gridlock, results or resistance, vision or vengeance, incredible progress or pointless destruction.","Sentiment(polarity=0.325, subjectivity=0.7)",0.325,0.7,38
"Tonight, I ask you to choose greatness.","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,39
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,40
"Over the last two years, my administration has moved with urgency and historic speed to confront problems neglected by leaders of both parties over many decades.","Sentiment(polarity=0.16666666666666666, subjectivity=0.18888888888888888)",0.166666667,0.188888889,41
"In just over two years since the election, we have launched an unprecedented economic boom � a boom that has rarely been seen before.","Sentiment(polarity=0.3666666666666667, subjectivity=0.6666666666666666)",0.366666667,0.666666667,42
There's been nothing like it.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,43
"We have created 5.3 million new jobs and, importantly, added 600,000 new manufacturing jobs � something which almost everyone said was impossible to do.","Sentiment(polarity=0.001515151515151525, subjectivity=0.7272727272727273)",0.001515152,0.727272727,44
"But the fact is, we are just getting started.","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,45
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,46
"Wages are rising at the fastest pace in decades and growing for blue-collar workers, who I promised to fight for.","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,47
They're growing faster than anyone else thought possible.,"Sentiment(polarity=0.0, subjectivity=1.0)",0,1,48
Nearly 5 million Americans have been lifted off food stamps.,"Sentiment(polarity=0.1, subjectivity=0.4)",0.1,0.4,49
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,50
The U.S. economy is growing almost twice as fast today as when I took office.,"Sentiment(polarity=0.2, subjectivity=0.6)",0.2,0.6,51
"And we are considered, far and away, the hottest economy anywhere in the world.","Sentiment(polarity=0.1, subjectivity=1.0)",0.1,1,52
Not even close.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,53
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,54
Unemployment has reached the lowest rate in over half a century.,"Sentiment(polarity=-0.16666666666666666, subjectivity=0.16666666666666666)",-0.166666667,0.166666667,55
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,56
"African American, Hispanic American, and Asian American unemployment have all reached their lowest levels ever recorded.","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,57
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,58
Unemployment for Americans with disabilities has also reached an all-time low.,"Sentiment(polarity=0.0, subjectivity=0.3)",0,0.3,59
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,60
More people are working now than at any time in the history of our country � 157 million people at work.,"Sentiment(polarity=0.5, subjectivity=0.5)",0.5,0.5,61
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,62
We passed a massive tax cut for working families and doubled the child tax credit.,"Sentiment(polarity=0.0, subjectivity=1.0)",0,1,63
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,64
"We virtually ended the estate tax � or death tax, as it is often called � on small businesses for ranchers and also for family farms.","Sentiment(polarity=-0.25, subjectivity=0.4)",-0.25,0.4,65
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,66
We eliminated the very unpopular Obamacare individual mandate penalty.,"Sentiment(polarity=0.1, subjectivity=0.35)",0.1,0.35,67
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,68
"And to give critically ill patients access to lifesaving cures, we passed, very importantly, Right to Try.","Sentiment(polarity=-0.10714285714285715, subjectivity=0.7678571428571428)",-0.107142857,0.767857143,69
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,70
My administration has cut more regulations in a short period of time than any other administration during its entire tenure.,"Sentiment(polarity=0.09375, subjectivity=0.45)",0.09375,0.45,71
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,72
Companies are coming back to our country in large numbers thanks to our historic reductions in taxes and regulations.,"Sentiment(polarity=0.10357142857142856, subjectivity=0.15714285714285714)",0.103571429,0.157142857,73
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,74
And we have unleashed a revolution in American energy.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,75
The United States is now the number-one producer of oil and natural gas anywhere in the world.,"Sentiment(polarity=0.1, subjectivity=0.4)",0.1,0.4,76
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,77
"And now, for the first time in 65 years, we are a net exporter of energy.","Sentiment(polarity=0.125, subjectivity=0.16666666666666666)",0.125,0.166666667,78
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,79
"After 24 months of rapid progress, our economy is the envy of the world, our military is the most powerful on Earth, by far, and America � (applause) � America is again winning each and every day.","Sentiment(polarity=0.25999999999999995, subjectivity=0.67)",0.26,0.67,80
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,81
Members of Congress: The state of our union is strong.,"Sentiment(polarity=0.4333333333333333, subjectivity=0.7333333333333333)",0.433333333,0.733333333,82
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,83
AUDIENCE: USA!,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,84
USA!,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,85
USA!,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,86
THE PRESIDENT: That sounds so good.,"Sentiment(polarity=0.7, subjectivity=0.6000000000000001)",0.7,0.6,87
(Laughter.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,88
Our country is vibrant and our economy is thriving like never before.,"Sentiment(polarity=0.16666666666666666, subjectivity=0.3333333333333333)",0.166666667,0.333333333,89
"On Friday, it was announced that we added another 304,000 jobs last month alone � almost double the number expected.","Sentiment(polarity=-0.03333333333333333, subjectivity=0.15555555555555556)",-0.033333333,0.155555556,90
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,91
"An economic miracle is taking place in the United States, and the only thing that can stop it are foolish wars, politics, or ridiculous partisan investigations.","Sentiment(polarity=-0.04444444444444443, subjectivity=0.7333333333333334)",-0.044444444,0.733333333,92
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,93
"If there is going to be peace and legislation, there cannot be war and investigation.","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,94
It just doesn't work that way.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,95
We must be united at home to defeat our adversaries abroad.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,96
This new era of cooperation can start with finally confirming the more than 300 highly qualified nominees who are still stuck in the Senate.,"Sentiment(polarity=0.1990909090909091, subjectivity=0.6236363636363637)",0.199090909,0.623636364,97
"In some cases, years and years waiting.","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,98
Not right.,"Sentiment(polarity=-0.14285714285714285, subjectivity=0.5357142857142857)",-0.142857143,0.535714286,99
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,100
"The Senate has failed to act on these nominations, which is unfair to the nominees and very unfair to our country.","Sentiment(polarity=-0.5499999999999999, subjectivity=0.7666666666666666)",-0.55,0.766666667,101
Now is the time for bipartisan action.,"Sentiment(polarity=0.1, subjectivity=0.1)",0.1,0.1,102
"Believe it or not, we have already proven that that's possible.","Sentiment(polarity=0.0, subjectivity=1.0)",0,1,103
"In the last Congress, both parties came together to pass unprecedented legislation to confront the opioid crisis, a sweeping new farm bill, historic VA reforms.","Sentiment(polarity=0.18409090909090908, subjectivity=0.3553030303030303)",0.184090909,0.35530303,104
"And after four decades of rejection, we passed VA Accountability so that we can finally terminate those who mistreat our wonderful veterans.","Sentiment(polarity=0.5, subjectivity=1.0)",0.5,1,105
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,106
"And just weeks ago, both parties united for groundbreaking criminal justice reform.","Sentiment(polarity=-0.4, subjectivity=0.55)",-0.4,0.55,107
They said it couldn't be done.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,108
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,109
"Last year, I heard, through friends, the story of Alice Johnson.","Sentiment(polarity=0.0, subjectivity=0.06666666666666667)",0,0.066666667,110
I was deeply moved.,"Sentiment(polarity=0.0, subjectivity=0.4)",0,0.4,111
"In 1997, Alice was sentenced to life in prison as a first-time non-violent drug offender.","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,112
"Over the next 22 years, she became a prison minister, inspiring others to choose a better path.","Sentiment(polarity=0.3333333333333333, subjectivity=0.5)",0.333333333,0.5,113
"She had a big impact on that prison population, and far beyond.","Sentiment(polarity=0.05, subjectivity=0.55)",0.05,0.55,114
"Alice's story underscores the disparities and unfairness that can exist in criminal sentencing, and the need to remedy this total injustice.","Sentiment(polarity=-0.2, subjectivity=0.65)",-0.2,0.65,115
She served almost that 22 years and had expected to be in prison for the remainder of her life.,"Sentiment(polarity=-0.1, subjectivity=0.4)",-0.1,0.4,116
"In June, I commuted Alice's sentence.","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,117
"When I saw Alice's beautiful family greet her at the prison gates, hugging and kissing and crying and laughing, I knew I did something right.","Sentiment(polarity=0.31190476190476185, subjectivity=0.7119047619047619)",0.311904762,0.711904762,118
"Alice is with us tonight, and she is a terrific woman.","Sentiment(polarity=0.0, subjectivity=1.0)",0,1,119
Terrific.,"Sentiment(polarity=0.0, subjectivity=1.0)",0,1,120
"Alice, please.","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,121
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,122
"Alice, thank you for reminding us that we always have the power to shape our own destiny.","Sentiment(polarity=0.6, subjectivity=1.0)",0.6,1,123
"Thank you very much, Alice.","Sentiment(polarity=0.26, subjectivity=0.26)",0.26,0.26,124
Thank you very much.,"Sentiment(polarity=0.26, subjectivity=0.26)",0.26,0.26,125
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,126
"Inspired by stories like Alice's, my administration worked closely with members of both parties to sign the FIRST STEP Act into law.","Sentiment(polarity=0.25, subjectivity=0.3333333333333333)",0.25,0.333333333,127
Big deal.,"Sentiment(polarity=0.0, subjectivity=0.1)",0,0.1,128
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,129
It's a big deal.,"Sentiment(polarity=0.0, subjectivity=0.1)",0,0.1,130
This legislation reformed sentencing laws that have wrongly and disproportionately harmed the African American community.,"Sentiment(polarity=-0.16666666666666666, subjectivity=0.3)",-0.166666667,0.3,131
"The FIRST STEP Act gives non-violent offenders the chance to reenter society as productive, law-abiding citizens.","Sentiment(polarity=0.25, subjectivity=0.3333333333333333)",0.25,0.333333333,132
Now states across the country are following our lead.,"Sentiment(polarity=0.0, subjectivity=0.1)",0,0.1,133
America is a nation that believes in redemption.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,134
We are also joined tonight by Matthew Charles from Tennessee.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,135
"In 1996, at the age of 30, Matthew was sentenced to 35 years for selling drugs and related offenses.","Sentiment(polarity=0.0, subjectivity=0.4)",0,0.4,136
"Over the next two decades, he completed more than 30 Bible studies, became a law clerk, and mentored many of his fellow inmates.","Sentiment(polarity=0.3333333333333333, subjectivity=0.3333333333333333)",0.333333333,0.333333333,137
"Now, Matthew is the very first person to be released from prison under the FIRST STEP Act.","Sentiment(polarity=0.2875, subjectivity=0.3833333333333333)",0.2875,0.383333333,138
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,139
"Matthew, please.","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,140
"Thank you, Matthew.","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,141
Welcome home.,"Sentiment(polarity=0.8, subjectivity=0.9)",0.8,0.9,142
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,143
"Now, Republicans and Democrats must join forces again to confront an urgent national crisis.","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,144
"Congress has 10 days left to pass a bill that will fund our government, protect our homeland, and secure our very dangerous southern border.","Sentiment(polarity=-0.095, subjectivity=0.4)",-0.095,0.4,145
"Now is the time for Congress to show the world that America is committed to ending illegal immigration and putting the ruthless coyotes, cartels, drug dealers, and human traffickers out of business.","Sentiment(polarity=-0.5, subjectivity=0.5333333333333333)",-0.5,0.533333333,146
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,147
"As we speak, large, organized caravans are on the march to the United States.","Sentiment(polarity=0.21428571428571427, subjectivity=0.42857142857142855)",0.214285714,0.428571429,148
"We have just heard that Mexican cities, in order to remove the illegal immigrants from their communities, are getting trucks and buses to bring them up to our country in areas where there is little border protection.","Sentiment(polarity=-0.22916666666666666, subjectivity=0.3333333333333333)",-0.229166667,0.333333333,149
"I have ordered another 3,750 troops to our southern border to prepare for this tremendous onslaught.","Sentiment(polarity=0.16666666666666666, subjectivity=0.5)",0.166666667,0.5,150
This is a moral issue.,"Sentiment(polarity=0.0, subjectivity=0.25)",0,0.25,151
"The lawless state of our southern border is a threat to the safety, security, and financial wellbeing of all America.","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,152
We have a moral duty to create an immigration system that protects the lives and jobs of our citizens.,"Sentiment(polarity=0.0, subjectivity=0.25)",0,0.25,153
This includes our obligation to the millions of immigrants living here today who followed the rules and respected our laws.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,154
Legal immigrants enrich our nation and strengthen our society in countless ways.,"Sentiment(polarity=0.1, subjectivity=0.35)",0.1,0.35,155
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,156
"I want people to come into our country in the largest numbers ever, but they have to come in legally.","Sentiment(polarity=0.2, subjectivity=0.2)",0.2,0.2,157
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,158
"Tonight, I am asking you to defend our very dangerous southern border out of love and devotion to our fellow citizens and to our country.","Sentiment(polarity=-0.09333333333333334, subjectivity=0.5333333333333333)",-0.093333333,0.533333333,159
No issue better illustrates the divide between America's working class and America's political class than illegal immigration.,"Sentiment(polarity=0.0, subjectivity=0.3666666666666667)",0,0.366666667,160
"Wealthy politicians and donors push for open borders while living their lives behind walls, and gates, and guards.","Sentiment(polarity=0.033333333333333326, subjectivity=0.7333333333333334)",0.033333333,0.733333333,161
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,162
"Meanwhile, working-class Americans are left to pay the price for mass illegal migration: reduced jobs, lower wages, overburdened schools, hospitals that are so crowded you can't get in, increased crime, and a depleted social safety net.","Sentiment(polarity=-0.11666666666666667, subjectivity=0.14166666666666666)",-0.116666667,0.141666667,163
Tolerance for illegal immigration is not compassionate; it is actually very cruel.,"Sentiment(polarity=-0.75, subjectivity=0.75)",-0.75,0.75,164
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,165
One in three women is sexually assaulted on the long journey north.,"Sentiment(polarity=0.225, subjectivity=0.6166666666666667)",0.225,0.616666667,166
Smugglers use migrant children as human pawns to exploit our laws and gain access to our country.,"Sentiment(polarity=0.0, subjectivity=0.1)",0,0.1,167
Human traffickers and sex traffickers take advantage of the wide-open areas between our ports of entry to smuggle thousands of young girls and women into the United States and to sell them into prostitution and modern-day slavery.,"Sentiment(polarity=0.05, subjectivity=0.25)",0.05,0.25,168
"Tens of thousands of innocent Americans are killed by lethal drugs that cross our border and flood into our cities, including meth, heroin, cocaine, and fentanyl.","Sentiment(polarity=0.09999999999999999, subjectivity=0.2333333333333333)",0.1,0.233333333,169
"The savage gang, MS-13, now operates in at least 20 different American states, and they almost all come through our southern border.","Sentiment(polarity=-0.075, subjectivity=0.25)",-0.075,0.25,170
"Just yesterday, an MS-13 gang member was taken into custody for a fatal shooting on a subway platform in New York City.","Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)",0.136363636,0.454545455,171
We are removing these gang members by the thousands.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,172
"But until we secure our border, they're going to keep streaming right back in.","Sentiment(polarity=0.22857142857142856, subjectivity=0.37857142857142856)",0.228571429,0.378571429,173
"Year after year, countless Americans are murdered by criminal illegal aliens.","Sentiment(polarity=-0.3, subjectivity=0.5166666666666667)",-0.3,0.516666667,174
"I've gotten to know many wonderful Angel moms and dads, and families.","Sentiment(polarity=0.75, subjectivity=0.75)",0.75,0.75,175
No one should ever have to suffer the horrible heartache that they have had to endure.,"Sentiment(polarity=-1.0, subjectivity=1.0)",-1,1,176
Here tonight is Debra Bissell.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,177
"Just three weeks ago, Debra's parents, Gerald and Sharon, were burglarized and shot to death in their Reno, Nevada home by an illegal alien.","Sentiment(polarity=-0.375, subjectivity=0.625)",-0.375,0.625,178
"They were in their eighties, and are survived by 4 children, 11 grandchildren, and 20 great-grandchildren.","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,179
"Also here tonight are Gerald and Sharon's granddaughter Heather, and great-granddaughter Madison.","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,180
"To Debra, Heather, Madison, please stand.","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,181
Few can understand your pain.,"Sentiment(polarity=-0.2, subjectivity=0.1)",-0.2,0.1,182
Thank you.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,183
And thank you for being here.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,184
Thank you very much.,"Sentiment(polarity=0.26, subjectivity=0.26)",0.26,0.26,185
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,186
"I will never forget, and I will fight for the memory of Gerald and Sharon that it should never happen again.","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,187
Not one more American life should be lost because our nation failed to control its very dangerous border.,"Sentiment(polarity=-0.195, subjectivity=0.45)",-0.195,0.45,188
"In the last two years, our brave ICE officers made 266,000 arrests of criminal aliens, including those charged or convicted of nearly 100,000 assaults, 30,000 sex crimes, and 4,000 killings or murders.","Sentiment(polarity=0.125, subjectivity=0.5041666666666667)",0.125,0.504166667,189
We are joined tonight by one of those law enforcement heroes: ICE Special Agent Elvin Hernandez.,"Sentiment(polarity=0.35714285714285715, subjectivity=0.5714285714285714)",0.357142857,0.571428571,190
When Elvin � (applause) � thank you.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,191
"When Elvin was a boy, he and his family legally immigrated to the United States from the Dominican Republic.","Sentiment(polarity=0.2, subjectivity=0.2)",0.2,0.2,192
"At the age of eight, Elvin told his dad he wanted to become a Special Agent.","Sentiment(polarity=0.35714285714285715, subjectivity=0.5714285714285714)",0.357142857,0.571428571,193
"Today, he leads investigations into the scourge of international sex trafficking.","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,194
"Elvin says that, ""If I can make sure these young girls get their justice, I've [really] done my job.""","Sentiment(polarity=0.26666666666666666, subjectivity=0.49629629629629624)",0.266666667,0.496296296,195
"Thanks to his work, and that of his incredible colleagues, more than 300 women and girls have been rescued from the horror of this terrible situation, and more than 1,500 sadistic traffickers have been put behind bars.","Sentiment(polarity=0.11666666666666668, subjectivity=0.6333333333333333)",0.116666667,0.633333333,196
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,197
"Thank you, Elvin.","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,198
"We will always support the brave men and women of law enforcement, and I pledge to you tonight that I will never abolish our heroes from ICE.","Sentiment(polarity=0.8, subjectivity=1.0)",0.8,1,199
Thank you.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,200
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,201
My administration has sent to Congress a commonsense proposal to end the crisis on the southern border.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,202
"It includes humanitarian assistance, more law enforcement, drug detection at our ports, closing loopholes that enable child smuggling, and plans for a new physical barrier, or wall, to secure the vast areas between our ports of entry.","Sentiment(polarity=0.20727272727272728, subjectivity=0.5394805194805194)",0.207272727,0.539480519,203
"In the past, most of the people in this room voted for a wall, but the proper wall never got built.","Sentiment(polarity=0.08333333333333333, subjectivity=0.2833333333333333)",0.083333333,0.283333333,204
I will get it built.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,205
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,206
"This is a smart, strategic, see-through steel barrier � not just a simple concrete wall.","Sentiment(polarity=0.12142857142857144, subjectivity=0.43333333333333335)",0.121428571,0.433333333,207
It will be deployed in the areas identified by the border agents as having the greatest need.,"Sentiment(polarity=1.0, subjectivity=1.0)",1,1,208
"And these agents will tell you: Where walls go up, illegal crossings go way, way down.","Sentiment(polarity=-0.3277777777777778, subjectivity=0.3944444444444445)",-0.327777778,0.394444444,209
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,210
San Diego used to have the most illegal border crossings in our country.,"Sentiment(polarity=0.0, subjectivity=0.5)",0,0.5,211
"In response, a strong security wall was put in place.","Sentiment(polarity=0.4333333333333333, subjectivity=0.7333333333333333)",0.433333333,0.733333333,212
This powerful barrier almost completely ended illegal crossings.,"Sentiment(polarity=-0.033333333333333326, subjectivity=0.6333333333333333)",-0.033333333,0.633333333,213
"The border city of El Paso, Texas used to have extremely high rates of violent crime � one of the highest in the entire country, and considered one of our nation's most dangerous cities.","Sentiment(polarity=-0.148, subjectivity=0.713)",-0.148,0.713,214
"Now, immediately upon its building, with a powerful barrier in place, El Paso is one of the safest cities in our country.","Sentiment(polarity=0.3, subjectivity=1.0)",0.3,1,215
"Simply put: Walls work, and walls save lives.","Sentiment(polarity=0.0, subjectivity=0.35714285714285715)",0,0.357142857,216
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,217
"So let's work together, compromise, and reach a deal that will truly make America safe.","Sentiment(polarity=0.5, subjectivity=0.5)",0.5,0.5,218
"As we work to defend our people's safety, we must also ensure our economic resurgence continues at a rapid pace.","Sentiment(polarity=0.2, subjectivity=0.2)",0.2,0.2,219
"No one has benefitted more from our thriving economy than women, who have filled 58 percent of the newly created jobs last year.","Sentiment(polarity=0.2590909090909091, subjectivity=0.4803030303030303)",0.259090909,0.48030303,220
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,221
You weren't supposed to do that.,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,222
Thank you very much.,"Sentiment(polarity=0.26, subjectivity=0.26)",0.26,0.26,223
Thank you very much.,"Sentiment(polarity=0.26, subjectivity=0.26)",0.26,0.26,224
All Americans can be proud that we have more women in the workforce than ever before.,"Sentiment(polarity=0.65, subjectivity=0.75)",0.65,0.75,225
(Applause.),"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,226
